                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.90063,                0.64119,                 0.9191,                0.88841,                0.90475,                0.93671,                0.69479,                0.97192,                0.71705,                0.96112,              0.0009695,              0.0009695,              0.0009695
                     37,                0.92074,                0.63928,                0.92454,                0.87705,                0.88941,                0.93275,                 0.7092,                0.98006,                0.69436,                0.96445,             0.00096125,             0.00096125,             0.00096125
                     38,                0.93164,                0.68129,                0.92284,                 0.8657,                0.90292,                0.92288,                 0.7153,                 0.9301,                0.67742,                0.95267,               0.000953,               0.000953,               0.000953
                     39,                0.91137,                0.65632,                0.92772,                0.86604,                0.89211,                0.93863,                0.69317,                 1.0528,                0.66617,                0.97392,             0.00094475,             0.00094475,             0.00094475
                     40,                0.89812,                0.66923,                0.91887,                0.91103,                0.92857,                0.91509,                0.69425,                0.93361,                0.65932,                0.95419,              0.0009365,              0.0009365,              0.0009365
                     41,                0.91718,                 0.6679,                0.94064,                0.91799,                0.92857,                 0.9054,                0.62901,                    1.1,                0.67776,                 1.0146,             0.00092825,             0.00092825,             0.00092825
                     42,                0.86031,                0.62059,                0.89921,                0.91679,                0.96263,                  0.985,                0.75003,                0.98643,                0.60026,                0.98732,                0.00092,                0.00092,                0.00092
                     43,                0.86695,                0.62316,                0.91878,                0.86219,                      1,                0.96208,                 0.7136,                  1.021,                0.63399,                 1.0005,             0.00091175,             0.00091175,             0.00091175
                     44,                0.88962,                0.62946,                0.91707,                0.91631,                0.92857,                0.93035,                0.70805,                0.99772,                0.59296,                0.97297,              0.0009035,              0.0009035,              0.0009035
                     45,                0.83522,                0.58219,                0.89634,                0.95385,                 0.8957,                0.97373,                0.74826,                 1.0408,                 0.6276,                0.99113,             0.00089525,             0.00089525,             0.00089525
                     46,                0.87176,                0.61431,                0.92514,                0.95451,                0.92753,                0.98054,                0.74389,                 1.0338,                0.61255,                0.98097,               0.000887,               0.000887,               0.000887
                     47,                0.88164,                0.62244,                0.91278,                0.92672,                0.94189,                  0.985,                0.73433,                0.99977,                0.59673,                0.96633,             0.00087875,             0.00087875,             0.00087875
                     48,                0.82373,                0.60152,                0.91034,                0.84154,                0.92217,                0.97625,                0.73104,                  1.016,                0.67653,                0.96464,              0.0008705,              0.0008705,              0.0008705
                     49,                0.83528,                0.58064,                0.90093,                0.97671,                0.89763,                  0.985,                0.75824,                 0.9538,                0.58431,                0.95673,             0.00086225,             0.00086225,             0.00086225
                     50,                0.83646,                0.58069,                0.90082,                0.97539,                0.94122,                  0.995,                0.79872,                 0.9149,                0.55129,                0.94304,               0.000854,               0.000854,               0.000854
                     51,                0.84892,                0.56799,                0.89555,                 0.9444,                 0.9447,                0.98929,                0.77043,                0.96391,                0.55345,                0.96432,             0.00084575,             0.00084575,             0.00084575
                     52,                0.84959,                0.57012,                0.90076,                0.94407,                0.93776,                0.98929,                0.79781,                0.86834,                0.51665,                0.92566,              0.0008375,              0.0008375,              0.0008375
                     53,                0.85875,                0.57738,                0.90497,                0.89207,                0.98959,                0.97792,                0.73409,                0.99589,                0.53395,                0.96714,             0.00082925,             0.00082925,             0.00082925
                     54,                0.81284,                  0.544,                0.90446,                0.91454,                0.92857,                0.92837,                0.75236,                0.86777,                0.55295,                0.92821,               0.000821,               0.000821,               0.000821
                     55,                0.82471,                0.55791,                0.89422,                0.91928,                0.92857,                0.94237,                0.72878,                 1.0058,                0.56712,                0.97131,             0.00081275,             0.00081275,             0.00081275
                     56,                0.84597,                0.55422,                 0.9092,                0.90794,                0.95139,                0.97792,                0.76514,                0.91984,                0.53355,                0.93832,              0.0008045,              0.0008045,              0.0008045
                     57,                0.80864,                0.53375,                0.89089,                0.91566,                0.94824,                  0.985,                0.77334,                0.96954,                0.52641,                0.95787,             0.00079625,             0.00079625,             0.00079625
                     58,                0.78523,                0.52396,                0.89833,                0.89618,                0.92857,                0.96352,                 0.7373,                 1.0119,                 0.5764,                 0.9763,               0.000788,               0.000788,               0.000788
                     59,                0.78668,                0.51396,                0.88182,                0.92865,                0.92857,                0.93163,                0.72524,                0.96279,                0.56726,                  0.964,             0.00077975,             0.00077975,             0.00077975
                     60,                0.82101,                0.56635,                 0.9015,                0.93202,                0.93542,                0.97049,                0.77206,                0.93422,                0.54269,                0.94696,              0.0007715,              0.0007715,              0.0007715
                     61,                0.80182,                0.52739,                0.89284,                0.92351,                 0.9424,                   0.97,                0.76422,                0.91507,                0.55159,                0.95365,             0.00076325,             0.00076325,             0.00076325
